StationCode,NetType,SampleDate,Station,GenusSpecies,LifeHistoryStage,TaxaGrouping,NRows,Sum(Density (#/m3)
052196NH05,vertical,05/21/1996,NH05,ACARTIA TONSA,"Female, Adult",Copepod_Southern,1,4.3291966
052196NH05,vertical,05/21/1996,NH05,CALANUS PACIFICUS,"1, CI",Copepod_Southern,1,43.291966
052196NH05,vertical,05/21/1996,NH05,CALANUS PACIFICUS,"2, CII",Copepod_Southern,1,17.3167864
052196NH05,vertical,05/21/1996,NH05,CALANUS PACIFICUS,"3, CIII",Copepod_Southern,1,34.6335728
052196NH05,vertical,05/21/1996,NH05,CALANUS PACIFICUS,"4, CIV",Copepod_Southern,1,4.3291966
052196NH05,vertical,05/21/1996,NH05,CALOCALANUS,"Female, Adult",Copepod_Southern,1,8.6583932
052196NH05,vertical,05/21/1996,NH05,CLAUSOCALANUS,"5, CV",Copepod_Southern,1,60.6087524
052196NH05,vertical,05/21/1996,NH05,CLAUSOCALANUS,Copepodite,Copepod_Southern,1,34.6335728
052196NH05,vertical,05/21/1996,NH05,CLAUSOCALANUS,"Female, Adult",Copepod_Southern,1,17.3167864
052196NH05,vertical,05/21/1996,NH05,CORYCAEUS ANGLICUS,Copepodite,Copepod_Southern,1,51.9503592
052196NH05,vertical,05/21/1996,NH05,CORYCAEUS ANGLICUS,Ovigerous Female,Copepod_Southern,1,8.6583932
052196NH05,vertical,05/21/1996,NH05,CTENOCALANUS VANUS,"Female, Adult",Copepod_Southern,1,4.3291966
052196NH05,vertical,05/21/1996,NH05,OIKOPLEURA,Unknown,Apendicularian,1,1272.7838
052196NH05,vertical,05/21/1996,NH05,ONCAEA,Unknown,Copepod_other,1,4.3291966
052196NH05,vertical,05/21/1996,NH05,PARACALANUS PARVUS,Copepodite,Copepod_Southern,1,77.9255388
052196NH05,vertical,05/21/1996,NH05,PARACALANUS PARVUS,"Female, Adult",Copepod_Southern,1,25.9751796
052196NH05,vertical,05/21/1996,NH05,PSEUDOCALANUS,"Female, Adult",Copepod_Northern,1,34.6335728
061196NH05,vertical,06/11/1996,NH05,CALANUS MARSHALLAE,"1, CI",Copepod_Northern,1,66.99270201
061196NH05,vertical,06/11/1996,NH05,CALANUS MARSHALLAE,"2, CII",Copepod_Northern,1,1.67481755
061196NH05,vertical,06/11/1996,NH05,CALANUS MARSHALLAE,"3, CIII",Copepod_Northern,1,83.74087752
061196NH05,vertical,06/11/1996,NH05,CALANUS MARSHALLAE,"4, CIV",Copepod_Northern,1,16.7481755
061196NH05,vertical,06/11/1996,NH05,CALANUS MARSHALLAE,"5, CV",Copepod_Northern,1,16.7481755
061196NH05,vertical,06/11/1996,NH05,CALANUS MARSHALLAE,"Female, Adult",Copepod_Northern,1,1.67481755
061196NH05,vertical,06/11/1996,NH05,CALANUS PACIFICUS,"1, CI",Copepod_Southern,1,16.7481755
