evidence,significance_level,evidence_linear,significance_level_linear,posterior_weighted_theta,posterior_weighted_delta,prediction_skill_s,prediction_skill_ns
640.3935139706928,1.0,665.8096917296884,1.0,4.2614062865988487e-50,86.86673399623471,0.9169426342435247,0.9726157688226201
698.9787961072166,1.0,746.6229738125733,1.0,5.697773156644507e-43,85.11910974160955,0.9036750224975361,0.9723499195696645
631.1097086140651,1.0,668.5456347016999,1.0,3.365869114074697e-42,81.11123233124138,0.9085559686601309,0.9682928795273645
618.9948185051234,1.0,655.3171170490442,1.0,2.6486962878799953e-42,89.62668525023446,0.8209502512782493,0.9655475884210765
613.2602199687956,1.0,716.0664632249225,1.0,1.5573334720844254e-37,85.66164741862218,0.9214136915183017,0.9720595505660297
567.1114731123034,1.0,654.654282099387,1.0,1.8344305552020806e-43,87.00826155397615,0.9240066569089342,0.9709330157752225
572.2191817983396,1.0,598.1410928947896,1.0,3.850543875663003e-40,76.14610512454787,0.91690092277111,0.9658975081822423
507.8310708570459,1.0,599.9318107609419,1.0,3.198889272229565e-35,72.00280844010537,0.9237911401467195,0.9632896046613295
677.4012674609831,1.0,715.4230380326392,1.0,9.229187589262601e-49,91.16144162528127,0.909155043843251,0.9730349440346545
618.606391970512,1.0,650.6452680276828,1.0,1.1345058303210926e-46,90.34608347453843,0.8127242485780878,0.9639899433914152
619.0629637925323,1.0,639.0054517451131,1.0,3.552144172090208e-48,80.65101399649441,0.8481428957806354,0.9687115222858443
655.2676763803643,1.0,739.4640363196419,1.0,3.923719942077776e-41,83.8799656627155,0.9126448342625952,0.9718755095905569
588.2710004228517,1.0,603.1098034933624,1.0,2.574618831224172e-46,79.87711957869254,0.8445866857438521,0.9671325178086438
651.5960035922258,1.0,679.3693059275823,1.0,6.120648166919639e-44,87.76173337640786,0.8341847478487032,0.9691031301972584
637.9998429294035,1.0,695.3708569595392,1.0,1.8173048130771182e-48,79.94838527135794,0.8212417541709688,0.964768358123792
638.7836022000379,1.0,652.5259927311865,1.0,3.83243113680011e-45,87.15970491590738,0.8320657841810346,0.967773980573409
620.1587207974266,1.0,654.1444984937033,1.0,6.389399578783115e-49,84.52817440251945,0.8342106235988336,0.9669820345958159
639.2841316053014,1.0,680.0741528515703,1.0,2.643886502165691e-44,84.7496277086225,0.9104781251734261,0.9695236057310246
658.8461674767807,1.0,687.7485358212222,1.0,3.535573349478779e-49,85.72937243938107,0.8399224616988719,0.9703419823930964
597.8957873836133,1.0,666.500176983066,1.0,1.4632047359466587e-44,85.59695707525513,0.9248099571199657,0.9713791489954015
600.4688426691102,1.0,725.8451160260084,1.0,1.4725784462239285e-43,92.49024483297946,0.9324606225447564,0.9744421977186087
640.2947506917978,1.0,667.0066741966318,1.0,1.0116922245796087e-44,82.8148552535859,0.8162495191210166,0.9661472104891524
590.4663790754979,1.0,626.6966105294973,1.0,6.58750939691762e-36,79.55583906283582,0.8288247198309773,0.9625826063570341
677.1236765072595,1.0,768.2706612749281,1.0,1.3762259920252806e-38,95.77528725853942,0.918689264483989,0.9771694365654244
629.5731746338698,1.0,655.912381971674,1.0,5.3466651357991724e-42,80.70114047482787,0.835923152881499,0.967114563421392
